study_id,icd10_code
NCT04518319,E70-E90.9
NCT04518319,F20
NCT01915381,G00-G99.9
NCT01915381,F99-F99.9
NCT04147052,G00-G99.9
NCT04147052,F99-F99.9
NCT04147052,G35
NCT04149054,E70-E90.9
NCT04149054,E34.9
NCT04149054,N00-N99.9
NCT04149054,O24.4
NCT04149054,E10-E14.9
NCT05053919,G00-G99.9
NCT05053919,F99-F99.9
NCT05053919,G47.0
NCT03352219,B34.9
NCT03352219,N00-N99.9
NCT03352219,B24
NCT03352219,A50-A64.9
NCT03352219,D84.9
NCT04100590,F99-F99.9
NCT04121299,I51.6
NCT04121299,I10-I15.9
NCT02572180,F99-F99.9
NCT02572180,G00-G99.9
NCT02572180,F90
NCT02846467,N00-N99.9
NCT02846467,N42.9
NCT02846467,N50.9
NCT02846467,N40
NCT03428048,I49.9
NCT03428048,I51.9
NCT03428048,I51.6
NCT03428048,I20-I25.9
NCT04912635,G47.3
NCT04912635,J00-J99.9
NCT04912635,G00-G99.9
NCT04424407,F39
NCT04424407,F99-F99.9
NCT04424407,G00-G99.9
NCT04424407,G47.0
NCT05100849,F99-F99.9
NCT02020785,N39.9
NCT02020785,N00-N99.9
NCT03654092,J00-J99.9
NCT04180189,F99-F99.9
NCT04180189,G00-G99.9
NCT04930198,A50-A64.9
NCT04930198,B34.9
NCT04930198,N00-N99.9
NCT04930198,D84.9
NCT04930198,B24
NCT04757233,E70-E90.9
NCT04757233,E34.9
NCT04757233,E10-E14.9
NCT04757233,E11
NCT04974645,F99-F99.9
NCT04974645,F10.2
NCT05360914,N32.9
NCT05360914,N39.9
NCT05360914,N00-N99.9
NCT05360914,A49.1
NCT05360914,A49.9
NCT05360914,A46
NCT05360914,N30
NCT04858074,G93.9
NCT04858074,G96.9
NCT04858074,G00-G99.9
NCT04858074,G31.9
NCT04858074,G20
NCT02450760,I67.9
NCT02450760,G93.9
NCT02450760,G96.9
NCT02450760,G00-G99.9
NCT02450760,I51.6
NCT02450760,G45.9
